tahun,nama_kabupaten_atau_kota_administrasi,nama_kecamatan,jumlah_kelurahan,jumlah_rw,jumlah_rt,jumlah_kk
2013.0,Kepulauan Seribu,Kepulauan Seribu Selatan ,3.0,11.0,52.0,2701.0
2013.0,Kepulauan Seribu,Kepulauan Seribu Utara ,3.0,13.0,75.0,4140.0
2013.0,Jakarta Selatan,Jagakarsa ,6.0,54.0,544.0,85783.0
2013.0,Jakarta Selatan,Pasar Minggu ,7.0,65.0,725.0,88594.0
2013.0,Jakarta Selatan,Cilandak ,5.0,46.0,476.0,61426.0
2013.0,Jakarta Selatan,Pesanggrahan ,5.0,51.0,530.0,66330.0
2013.0,Jakarta Selatan,Kebayoran Lama ,6.0,77.0,861.0,90314.0
2013.0,Jakarta Selatan,Kebayoran Baru ,10.0,73.0,660.0,46211.0
2013.0,Jakarta Selatan,Mampang Prapatan ,5.0,38.0,411.0,45606.0
2013.0,Jakarta Selatan,Pancoran ,6.0,43.0,481.0,48042.0
2013.0,Jakarta Selatan,Tebet ,7.0,80.0,939.0,72162.0
2013.0,Jakarta Selatan,Setia Budi ,8.0,51.0,512.0,35555.0
2013.0,Jakarta Timur,Pasar Rebo ,5.0,53.0,524.0,58676.0
2013.0,Jakarta Timur,Ciracas ,5.0,49.0,602.0,81436.0
2013.0,Jakarta Timur,Cipayung ,8.0,56.0,503.0,67925.0
2013.0,Jakarta Timur,Makasar ,5.0,53.0,573.0,59060.0
2013.0,Jakarta Timur,Kramat Jati ,7.0,65.0,653.0,85633.0
2013.0,Jakarta Timur,Jatinegara ,8.0,90.0,1140.0,94473.0
2013.0,Jakarta Timur,Duren Sawit ,7.0,95.0,1102.0,116710.0
2013.0,Jakarta Timur,Cakung ,7.0,86.0,963.0,147484.0
2013.0,Jakarta Timur,Pulo Gadung ,7.0,93.0,1026.0,91959.0
2013.0,Jakarta Timur,Matraman ,6.0,62.0,798.0,59055.0
2013.0,Jakarta Pusat,Tanah Abang ,7.0,67.0,724.0,53574.0
2013.0,Jakarta Pusat,Menteng ,5.0,38.0,425.0,26703.0
2013.0,Jakarta Pusat,Senen ,6.0,48.0,515.0,38973.0
2013.0,Jakarta Pusat,Johar Baru ,4.0,40.0,558.0,41006.0
2013.0,Jakarta Pusat,Cempaka Putih ,3.0,30.0,375.0,29067.0
2013.0,Jakarta Pusat,Kemayoran ,8.0,77.0,1031.0,74310.0
2013.0,Jakarta Pusat,Sawah Besar ,5.0,49.0,597.0,42640.0
2013.0,Jakarta Pusat,Gambir ,6.0,44.0,484.0,30813.0
2013.0,Jakarta Barat,Kembangan ,6.0,63.0,617.0,74530.0
2013.0,Jakarta Barat,Kebon Jeruk ,7.0,70.0,716.0,94146.0
2013.0,Jakarta Barat,Palmerah ,6.0,61.0,712.0,64889.0
2013.0,Jakarta Barat,Grogol Petamburan ,7.0,73.0,868.0,71845.0
2013.0,Jakarta Barat,Tambora ,11.0,96.0,1082.0,83158.0
2013.0,Jakarta Barat,Taman Sari ,8.0,60.0,688.0,42785.0
2013.0,Jakarta Barat,Cengkareng ,6.0,84.0,1007.0,150422.0
2013.0,Jakarta Barat,Kalideres ,5.0,74.0,745.0,114054.0
2013.0,Jakarta Utara,Penjaringan ,5.0,70.0,837.0,94440.0
2013.0,Jakarta Utara,Pademangan ,3.0,34.0,432.0,50722.0
2013.0,Jakarta Utara,Tanjung Priok ,7.0,103.0,1269.0,121646.0
2013.0,Jakarta Utara,Koja ,6.0,82.0,906.0,97702.0
2013.0,Jakarta Utara,Kelapa Gading ,3.0,68.0,707.0,40049.0
2013.0,Jakarta Utara,Cilincing ,7.0,85.0,997.0,119434.0
